Close,Label
0.344788,-1
0.398434,-1
0.397913,1
0.382288,1
0.393746,1
0.396871,1
0.390491,1
0.376559,1
0.379163,-1
0.384892,-1
0.361976,-1
0.380725,-1
0.386975,-1
0.381507,-1
0.373434,-1
0.366923,1
0.376559,1
0.369267,1
0.369788,1
0.35833,-1
0.341142,-1
0.360934,-1
0.358069,-1
0.367184,-1
0.356767,-1
0.364059,-1
0.35208,-1
0.365621,-1
0.368746,-1
0.385413,1
0.427079,1
0.451037,1
0.520828,1
0.508328,1
0.547911,1
0.613536,1
0.658327,1
0.599473,1
0.631765,1
0.678118,1
0.772388,1
0.831763,1
0.825513,1
0.785409,1
0.822908,1
0.831242,1
0.951032,1
1.033323,1
1.162488,1
1.017698,1
0.892699,1
0.879158,-1
0.829158,-1
0.896866,-1
0.958324,-1
0.937491,1
0.944782,1
0.998428,1
1.145822,1
1.10051,1
1.116656,1
1.063531,1
1.035406,1
1.046344,1
0.991136,-1
0.898429,-1
0.947907,-1
0.923949,-1
0.902074,-1
0.915616,-1
0.884887,-1
0.912491,-1
0.966657,-1
1.013532,1
1.033323,1
1.086447,1
1.062489,1
1.022906,1
0.997386,1
1.072385,1
1.072906,-1
1.076031,1
1.080718,1
1.122905,1
1.096864,1
1.060406,1
0.991657,-1
0.882413,-1
0.697893,-1
0.666269,-1
0.732284,-1
0.715618,-1
0.718743,-1
0.768742,-1
0.70416,-1
0.663535,1
0.633848,-1
0.614056,-1
0.608327,-1
0.70416,-1
0.64166,-1
0.664056,-1
0.712493,1
0.734888,1
0.876033,1
0.851033,1
0.910408,1
0.963532,1
0.942699,1
0.930199,1
0.8552,1
0.918741,1
0.883325,1
0.902595,1
0.778638,-1
0.718222,-1
0.759888,-1
0.776555,-1
0.761451,-1
0.779159,-1
0.808846,-1
0.828638,-1
0.881241,1
0.889574,1
0.916658,1
0.95572,1
0.967699,1
1.011969,1
0.969261,1
0.975511,1
1.054156,1
1.053635,1
1.091656,1
1.05051,1
1.08176,1
1.070823,1
1.03801,1
1.057281,1
1.097906,-1
1.055198,-1
1.091656,-1
1.064573,-1
1.052073,-1
1.237488,1
1.366653,1
1.277071,1
1.505193,1
1.816649,1
1.787482,1
1.752587,1
1.80519,1
1.599984,1
1.745816,1
1.662483,1
1.579151,-1
1.570818,-1
1.591651,-1
1.700504,-1
