Close,Label
0.063616,1
0.0625,-1
0.0625,-1
0.061384,-1
0.0625,-1
0.060268,1
0.058594,-1
0.058594,-1
0.058036,-1
0.05692,-1
0.057478,-1
0.05971,-1
0.05971,1
0.05971,1
0.05971,1
0.058594,1
0.057478,-1
0.057478,-1
0.05971,-1
0.061384,1
0.061384,1
0.059152,1
0.058594,-1
0.05692,-1
0.05692,-1
0.056362,-1
0.053571,-1
0.051339,-1
0.051339,-1
0.049107,-1
0.050781,-1
0.051897,1
0.055245,1
0.055804,1
0.05692,1
0.059152,1
0.05971,1
0.063616,1
0.063616,1
0.064174,1
0.063058,1
0.060268,-1
0.060268,-1
0.057478,-1
0.05971,-1
0.060268,1
0.061942,1
0.058036,1
0.057478,-1
0.055245,-1
0.054687,-1
0.055245,-1
0.058594,-1
0.059152,1
0.058594,1
0.058594,1
0.05971,-1
